month,seaice_extent,year
1,272901.95,1111
2,290081.04,1111
3,303359.51,1111
4,299952.28,1111
5,199016.27,1111
6,20050.31,1111
7,3748.86,1111
8,0.0,1111
9,1115.05,1111
10,3191.96,1111
11,77459.92,1111
12,215867.57,1111
