month,seaice_extent,year
1,391728.3,1111
2,479182.16,1111
3,506403.46,1111
4,460899.36,1111
5,232306.48,1111
6,20887.0,1111
7,3748.86,1111
8,515.84,1111
9,1115.05,1111
10,4500.31,1111
11,90328.77,1111
12,268887.07,1111
